icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
acc9d0,FDX1441 ,United States,1784797434.0,1784797434,-90.2727,33.8138,9151.62,False,247.06,201.11,-0.65,,9784.08,5615,False,0,2026-07-23 09:04:03.321935
01024f,MSC884  ,Egypt,1784797434.0,1784797434,38.8314,40.6115,10972.8,False,202.54,241.81,0.0,,11612.88,0605,False,0,2026-07-23 09:04:03.321935
7814ba,CCA4014 ,China,1784797426.0,1784797426,116.8683,39.8295,7802.88,False,219.5,199.58,0.0,,8168.64,,False,0,2026-07-23 09:04:03.321935
8990a4,CAL5381 ,Taiwan,1784797435.0,1784797435,-117.7564,45.3798,12192.0,False,238.16,291.41,0.0,,12801.6,,False,0,2026-07-23 09:04:03.321935
4b839c,KLH71   ,Turkey,1784797435.0,1784797435,40.4007,40.1682,8534.4,False,217.82,261.72,0.33,,8999.22,5161,False,0,2026-07-23 09:04:03.321935
484b8f,KLM1042 ,Kingdom of the Netherlands,1784797434.0,1784797434,3.8604,52.4789,3139.44,False,166.37,127.08,-2.6,,3307.08,4653,False,0,2026-07-23 09:04:03.321935
407794,EZY25UE ,United Kingdom,1784797435.0,1784797435,8.5887,40.5109,11285.22,False,259.31,154.25,0.0,,11887.2,5224,False,0,2026-07-23 09:04:03.321935
010262,MSR781  ,Egypt,1784797435.0,1784797435,21.3906,39.0233,10378.44,False,221.44,326.27,-0.33,,10881.36,2002,False,0,2026-07-23 09:04:03.321935
010261,RMX8003 ,Egypt,1784797430.0,1784797430,28.8546,40.9238,1714.5,False,110.26,273.21,0.65,,1805.94,1020,False,0,2026-07-23 09:04:03.321935
71c078,AAR761  ,Republic of Korea,1784797433.0,1784797434,120.7573,20.9611,11582.4,False,236.48,189.01,0.0,,12352.02,4104,False,0,2026-07-23 09:04:03.321935
010257,MSC831  ,Egypt,1784797435.0,1784797435,22.9225,37.7361,9753.6,False,221.29,316.88,0.33,,10241.28,2037,False,0,2026-07-23 09:04:03.321935
010258,MSC004  ,Egypt,1784797435.0,1784797435,33.3262,29.1567,7620.0,False,240.11,125.49,0.0,,8168.64,2757,False,0,2026-07-23 09:04:03.321935
71c072,ASV906  ,Republic of Korea,1784797434.0,1784797435,126.9368,35.7817,6149.34,False,225.71,5.1,-5.2,,6522.72,,False,0,2026-07-23 09:04:03.321935
3ce66f,AMQ11L  ,Germany,1784797236.0,1784797236,16.5465,48.1206,,True,12.86,295.31,,,,1435,False,0,2026-07-23 09:04:03.321935
71c073,ASV716  ,Republic of Korea,1784797420.0,1784797425,135.2522,34.4373,,True,0.06,230.62,,,,,False,0,2026-07-23 09:04:03.321935
a79dc4,DAL2038 ,United States,1784797434.0,1784797435,-77.5023,41.446,10355.58,False,270.29,100.86,-4.88,,10683.24,6037,False,0,2026-07-23 09:04:03.321935
8990a9,CAL793  ,Taiwan,1784797434.0,1784797434,106.612,21.8925,7124.7,False,216.38,237.82,-6.18,,7536.18,,False,0,2026-07-23 09:04:03.321935
39a1a4,FHINE   ,France,1784797434.0,1784797434,1.9483,48.3921,838.2,False,68.24,174.38,-1.95,,952.5,,False,0,2026-07-23 09:04:03.321935
01023a,MSC2960 ,Egypt,1784797435.0,1784797435,25.0079,34.2448,10980.42,False,234.33,329.38,0.0,,11734.8,,False,0,2026-07-23 09:04:03.321935
780df8,CSH9470 ,China,1784797434.0,1784797434,114.084,23.1203,9479.28,False,229.84,82.54,0.0,,10088.88,,False,0,2026-07-23 09:04:03.321935
01023b,MSC3804 ,Egypt,1784797435.0,1784797435,28.3163,39.2179,11285.22,False,239.34,159.23,0.33,,11879.58,5202,False,0,2026-07-23 09:04:03.321935
a36130,DAL936  ,United States,1784797433.0,1784797433,-122.2987,47.4386,,True,0.0,95.62,,,,,False,0,2026-07-23 09:04:03.321935
01023e,MSC601  ,Egypt,1784797429.0,1784797429,30.0571,31.4363,8366.76,False,233.23,327.89,4.55,,8923.02,6143,False,0,2026-07-23 09:04:03.321935
3cc005,IJM45F  ,Germany,1784797435.0,1784797435,1.1801,50.2239,7917.18,False,214.27,319.77,-20.16,,8298.18,4061,False,0,2026-07-23 09:04:03.321935
